"county","votes","type","name","race"
"Elbert","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Emanuel","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Evans","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Fannin","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Fayette","3","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Floyd","2","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Forsyth","6","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Franklin","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Fulton","73","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Gilmer","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Glascock","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Glynn","5","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Gordon","2","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Grady","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Greene","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Gwinnett","76","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Habersham","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Hall","3","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Hancock","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Haralson","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Harris","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Hart","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Heard","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Henry","5","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Houston","2","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Irwin","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Jackson","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Jasper","2","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Jeff Davis","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Jefferson","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Jenkins","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Johnson","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Jones","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Lamar","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Lanier","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Laurens","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Lee","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Liberty","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Lincoln","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Long","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Lowndes","20","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Lumpkin","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Macon","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Madison","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Marion","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"McDuffie","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"McIntosh","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Meriwether","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Miller","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Mitchell","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Monroe","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Montgomery","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Morgan","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Murray","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Muscogee","6","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Newton","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Oconee","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Oglethorpe","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Paulding","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Peach","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Pickens","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Pierce","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Pike","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Polk","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Pulaski","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Putnam","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Quitman","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Rabun","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Randolph","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Richmond","2","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Rockdale","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Schley","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Screven","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Seminole","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Spalding","3","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Stephens","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Stewart","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Sumter","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Talbot","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Taliaferro","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Tattnall","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Taylor","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Telfair","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Terrell","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Thomas","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Tift","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Toombs","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Towns","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Treutlen","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Troup","7","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Turner","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Twiggs","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Union","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Upson","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Walker","3","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Walton","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Ware","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Warren","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Washington","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Wayne","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Webster","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Wheeler","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"White","1","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Whitfield","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Wilcox","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Wilkes","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Wilkinson","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Worth","0","Provisional","SMYTHE DUVAL (LIB)","Secretary Of State"
"Appling","2212","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Atkinson","752","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Bacon","567","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Baker","378","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Baldwin","3000","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Banks","3362","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Barrow","10128","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Bartow","14782","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Ben Hill","894","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Berrien","2215","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Bibb","13791","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Bleckley","1303","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Brantley","2291","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Brooks","1767","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Bryan","4214","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Bulloch","7496","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Burke","2213","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Butts","1383","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Calhoun","426","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Camden","5228","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Candler","665","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Carroll","14248","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Catoosa","7473","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Charlton","1206","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Chatham","28768","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Chattahoochee","325","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Chattooga","2879","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Cherokee","37783","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Clarke","6949","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Clay","158","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Clayton","4641","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Clinch","612","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Cobb","87338","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Coffee","2839","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Colquitt","4666","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Columbia","19671","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Cook","1591","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Coweta","21042","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Crawford","1524","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Crisp","1382","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Dade","2225","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Dawson","3433","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Decatur","2375","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"DeKalb","29702","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Dodge","2212","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Dooly","728","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Dougherty","6144","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Douglas","8756","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Early","1053","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Echols","281","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Effingham","8922","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Elbert","2106","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Emanuel","2499","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Evans","639","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Fannin","4308","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Fayette","14291","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Floyd","10785","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Forsyth","25278","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Franklin","3522","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Fulton","54525","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Gilmer","4606","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Glascock","450","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Glynn","8567","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Gordon","7220","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Grady","2795","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Greene","1535","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Gwinnett","70787","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Habersham","3677","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Hall","29036","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Hancock","389","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Haralson","5037","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Harris","5547","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Hart","2898","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Heard","1879","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Henry","15399","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Houston","12037","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Irwin","972","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Jackson","8593","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Jasper","1833","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Jeff Davis","1415","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Jefferson","1532","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Jenkins","656","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Johnson","847","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Jones","3106","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Lamar","2153","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Lanier","540","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Laurens","6034","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Lee","5504","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Liberty","2719","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Lincoln","1178","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Long","1198","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Lowndes","7068","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Lumpkin","2870","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Macon","477","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Madison","4439","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Marion","984","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"McDuffie","1698","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"McIntosh","1167","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Meriwether","2960","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Miller","788","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Mitchell","2046","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Monroe","4359","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Montgomery","1421","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Morgan","2705","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Murray","4670","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Muscogee","13578","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Newton","10556","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Oconee","5855","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Oglethorpe","1742","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Paulding","16467","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Peach","1575","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Pickens","4952","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Pierce","1619","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Pike","3150","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Polk","3508","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Pulaski","493","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Putnam","2687","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Quitman","203","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Rabun","1460","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Randolph","590","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Richmond","13205","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Rockdale","4055","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Schley","380","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Screven","1330","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Seminole","1235","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Spalding","6084","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Stephens","1771","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Stewart","321","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Sumter","2215","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Talbot","726","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Taliaferro","126","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Tattnall","1903","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Taylor","567","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Telfair","1008","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Terrell","926","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Thomas","4960","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Tift","3468","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Toombs","2287","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Towns","1429","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Treutlen","532","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Troup","6523","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Turner","624","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Twiggs","1095","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Union","3867","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Upson","1981","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Walker","7463","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Walton","17153","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Ware","3637","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Warren","306","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Washington","1587","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Wayne","2870","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Webster","177","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Wheeler","522","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"White","4584","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Whitfield","11789","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Wilcox","952","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Wilkes","1079","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Wilkinson","1438","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Worth","3348","Election Day","CHRIS CARR (I) (REP)","Attorney General"
"Appling","350","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Atkinson","45","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Bacon","126","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Baker","52","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Baldwin","354","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Banks","181","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Barrow","685","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Bartow","981","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Ben Hill","91","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Berrien","219","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Bibb","1266","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Bleckley","141","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Brantley","150","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Brooks","106","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Bryan","238","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Bulloch","539","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Burke","245","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Butts","198","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Calhoun","35","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Camden","516","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Candler","56","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Carroll","814","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Catoosa","361","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Charlton","100","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Chatham","1686","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Chattahoochee","15","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Chattooga","142","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Cherokee","3238","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Clarke","926","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Clay","41","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Clayton","803","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Clinch","51","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Cobb","10275","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Coffee","182","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Colquitt","258","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Columbia","1362","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Cook","114","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Coweta","1505","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Crawford","127","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Crisp","194","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Dade","79","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Dawson","317","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Decatur","185","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"DeKalb","3138","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Dodge","252","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Dooly","64","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Dougherty","376","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Douglas","1048","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Early","224","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Echols","28","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Effingham","417","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Elbert","230","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Emanuel","226","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Evans","119","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Fannin","468","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Fayette","1126","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Floyd","661","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Forsyth","2501","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Franklin","294","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Fulton","5058","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Gilmer","411","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Glascock","66","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Glynn","790","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Gordon","365","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Grady","162","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Greene","212","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Gwinnett","8007","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Habersham","643","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Hall","2085","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Hancock","50","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Haralson","277","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Harris","401","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Hart","219","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Heard","201","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Henry","1545","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Houston","1262","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Irwin","65","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Jackson","702","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Jasper","244","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Jeff Davis","156","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Jefferson","146","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Jenkins","77","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Johnson","132","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Jones","367","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Lamar","180","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Lanier","61","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Laurens","652","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Lee","251","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Liberty","188","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Lincoln","117","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Long","44","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Lowndes","644","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Lumpkin","294","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Macon","51","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Madison","336","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"Marion","62","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
"McDuffie","375","Absentee by Mail","CHRIS CARR (I) (REP)","Attorney General"
